Session	Date	Time CET (Local Time)	Room	Track	Pres. Order	Session Name 	Paper ID	Paper Title	Author	Length	Category	Presentation Preference	New Presentation Mode	Chair	Chair email
Session 2	2024-03-18	11:00	Carlson (176)	Efficient/Low-resource methods in NLP	1	Machine Learning for NLP	317	Extreme Fine-tuning: A Novel and Fast Fine-tuning Approach for Text Classification	Boonnithi Jiaramaneepinit, Thodsaporn Chay-intr, Kotaro Funakoshi, Manabu Okumura	Long 12/2.5/.5	Oral 	In Person		Dr. Bart Desmet	bart.desmet@gmail.com
Session 2	2024-03-18	11:15	Carlson (176)	Machine Learning for NLP	2	Machine Learning for NLP	198	Plan-Grounded Large Language Models for Dual Goal Conversational Settings	Diogo Glória-Silva, Rafael Ferreira, Diogo Tavares, David Semedo, Joao Magalhaes	Long 12/2.5/.5	Oral 	In Person			
Session 2	2024-03-18	11:30	Carlson (176)	Machine Learning for NLP	3	Machine Learning for NLP	351	TESS: Text-to-Text Self-Conditioned Simplex Diffusion	Rabeeh Karimi mahabadi, Hamish Ivison, Jaesung Tae, James Henderson, Iz Beltagy, Matthew E Peters, Arman Cohan	Long 12/2.5/.5	Oral 	In Person			
Session 2	2024-03-18	11:45	Carlson (176)	Machine Learning for NLP	4	Machine Learning for NLP	446	Dynamic Masking Rate Schedules for MLM Pretraining	Zachary Ankner, Naomi Saphra, Davis Blalock, Jonathan Frankle, Matthew L Leavitt	Long 12/2.5/.5	Oral 	Unconfirmed			
Session 2	2024-03-18	12:00	Carlson (176)	Machine Learning for NLP	5	Machine Learning for NLP	458	Gradient-Based Language Model Red Teaming	Nevan Wichers, Carson Denison, Ahmad Beirami	Long 12/2.5/.5	Oral 	In Person			
Session 2	2024-03-18	12:15	Carlson (176)	NLP Applications	6	Machine Learning for NLP	107	A* shortest string decoding for non-idempotent semirings	Kyle Gorman, Cyril Allauzen	Long 12/2.5/.5	Oral 	In Person			
Session 2	2024-03-18	11:00	Marie Louise 1 (90)	Computational Social Science and Cultural Analytics	1	Factual Content in NLP	310	What Makes Medical Claims (Un)Verifiable? Analyzing Entity and Relation Properties for Fact Verification	Amelie Wuehrl, Yarik Menchaca Resendiz, Lara Grimminger, Roman Klinger	Long 12/2.5/.5	Oral 	In Person		Prof. Ion Androutsopoulos	ionandr@gmail.com
Session 2	2024-03-18	11:15	Marie Louise 1 (90)	Interpretability and Model Analysis in NLP	2	Factual Content in NLP	314	Tracing the Roots of Facts in Multilingual Language Models: Independent, Shared, and Transferred Knowledge	Xin Zhao, Naoki Yoshinaga, Daisuke Oba	Long 12/2.5/.5	Oral 	In Person			
Session 2	2024-03-18	11:30	Marie Louise 1 (90)	Semantics: Sentence-level Semantics, Textual Inference and other areas	3	Factual Content in NLP	364	Rethinking Loss Functions for Fact Verification	Yuta Mukobara, Yutaro Shigeto, Masashi Shimbo	Long 12/2.5/.5	Oral 	In Person			
Session 2	2024-03-18	11:45	Marie Louise 1 (90)	Semantics: Sentence-level Semantics, Textual Inference and other areas	4	Factual Content in NLP	428	Counterfactual Reasoning with Knowledge Graph Embeddings	Lena Zellinger, Andreas Stephan, Benjamin Roth	Long 12/2.5/.5	Oral 	In Person			
