Conf. Session	Date	Time CET (Local Time)	Poster Session	Track	Board 	Paper ID	Paper Title	First Authors	Status	Authors	1st Author	2nd Author	3rd Author	4th Author	5th Author	6th Author	7th Author	8th Author	Change from 	Change to 	Complete	GT Spawn point	Authors																
Session 3	2024-03-18	14-15:30	In-Person A	Summarization	28	321	$\mu$PLAN: Summarizing using a Content Plan as Cross-Lingual Bridge	Fantine Huot	Confirmed In person	Fantine Huot, Joshua Maynez, Chris Alberti, Reinald Kim Amplayo, Priyanka Agrawal, Constanza Fierro, Shashi Narayan, Mirella Lapata	Fantine Huot	Joshua Maynez	Chris Alberti	Reinald Kim Amplayo	Priyanka Agrawal	Constanza Fierro	Shashi Narayan	Mirella Lapata					Fantine Huot	Joshua Maynez	Chris Alberti	Reinald Kim Amplayo	Priyanka Agrawal	Constanza Fierro	Shashi Narayan	Mirella Lapata									
Session 3	2024-03-18	14-15:30	In-Person A	Information Extraction	9	217	3D Rotation and Translation for Hyperbolic Knowledge Graph Embedding	Yihua Zhu	Confirmed In person	Yihua Zhu, Hidetoshi Shimodaira	Yihua Zhu	Hidetoshi Shimodaira											Yihua Zhu	Hidetoshi Shimodaira															
Session 3	2024-03-18	14-15:30	In-Person A	Generation	5	41	A Methodology for Generative Spelling Correction via Natural Spelling Errors Emulation across Multiple Domains and Languages	Nikita Martynov	Confirmed In person	Nikita Martynov, Mark Baushenko, Anastasia Kozlova, Katerina Kolomeytseva, Aleksandr Abramov, Alena Fenogenova	Nikita Martynov	Mark Baushenko	Anastasia Kozlova	Katerina Kolomeytseva	Aleksandr Abramov	Alena Fenogenova							Nikita Martynov	Mark Baushenko	Anastasia Kozlova	Katerina Kolomeytseva	Aleksandr Abramov	Alena Fenogenova											
Session 3	2024-03-18	14-15:30	In-Person A	Sentiment Analysis, Stylistic Analysis and Argument Mining	26	309	An Empirical Analysis of Diversity in Argument Summarization	Michiel van der Meer	Confirmed In person	Michiel van der Meer, Piek Vossen, Catholijn M Jonker, Pradeep Kumar Murukannaiah	Michiel van der Meer	Piek Vossen	Catholijn M Jonker	Pradeep Kumar Murukannaiah									Michiel van der Meer	Piek Vossen	Catholijn M Jonker	Pradeep Kumar Murukannaiah													
Session 3	2024-03-18	14-15:30	In-Person A	Information Retrieval and Text Mining	15	299	Argument Mining as a Text-to-Text Generation Task	Masayuki Kawarada	Confirmed In person	Masayuki Kawarada, Tsutomu Hirao, Wataru Uchida, Masaaki Nagata	Masayuki Kawarada	Tsutomu Hirao	Wataru Uchida	Masaaki Nagata									Masayuki Kawarada	Tsutomu Hirao	Wataru Uchida	Masaaki Nagata													
Session 3	2024-03-18	14-15:30	In-Person A	Information Retrieval and Text Mining	16	163	Backtracing: Retrieving the Cause of the Query	Rose E Wang	Confirmed In person	Rose E Wang, Pawan Wirawarn, Omar Khattab, Noah Goodman, Dorottya Demszky	Rose E Wang	Pawan Wirawarn	Omar Khattab	Noah Goodman	Dorottya Demszky								Rose E Wang	Pawan Wirawarn	Omar Khattab	Noah Goodman	Dorottya Demszky												
Session 3	2024-03-18	14-15:30	In-Person A	Information Extraction	10	7	Chem-FINESE: Validating Fine-Grained Few-shot Entity Extraction through Text Reconstruction	Qingyun Wang	Confirmed In person	Qingyun Wang, Zixuan Zhang, Hongxiang Li, Xuan Liu, Jiawei Han, Huimin Zhao, Heng Ji	Qingyun Wang	Zixuan Zhang	Hongxiang Li	Xuan Liu	Jiawei Han	Huimin Zhao	Heng Ji						Qingyun Wang	Zixuan Zhang	Hongxiang Li	Xuan Liu	Jiawei Han	Huimin Zhao	Heng Ji										
Session 3	2024-03-18	14-15:30	In-Person A	Information Retrieval and Text Mining	17	279	Clarifying the Path to User Satisfaction: An Investigation into Clarification Usefulness	Hossein A. Rahmani	Confirmed in person	Hossein A. Rahmani, Xi Wang, Mohammad Aliannejadi, Mohammadmehdi Naghiaei, Emine Yilmaz	Hossein A. Rahmani	Xi Wang	Mohammad Aliannejadi	Mohammadmehdi Naghiaei	Emine Yilmaz								Hossein A. Rahmani	Xi Wang	Mohammad Aliannejadi	Mohammadmehdi Naghiaei	Emine Yilmaz												
Session 3	2024-03-18	14-15:30	In-Person A	Information Retrieval and Text Mining	18	339	Corpus-Steered Query Expansion with Large Language Models	Yibin Lei	Confirmed In person	Yibin Lei, Yu Cao, Tianyi Zhou, Tao Shen, Andrew Yates	Yibin Lei	Yu Cao	Tianyi Zhou	Tao Shen	Andrew Yates								Yibin Lei	Yu Cao	Tianyi Zhou	Tao Shen	Andrew Yates												
Session 3	2024-03-18	14-15:30	In-Person A	Question Answering	25	117	Desiderata For The Context Use Of Question Answering Systems	Sagi Shaier	Confirmed In person	Sagi Shaier, Lawrence Hunter, Katharina von der Wense	Sagi Shaier	Lawrence Hunter	Katharina von der Wense										Sagi Shaier	Lawrence Hunter	Katharina von der Wense														
Session 3	2024-03-18	14-15:30	In-Person A	Sentiment Analysis, Stylistic Analysis and Argument Mining	27	83	Evaluating Unsupervised Argument Aligners via Generation of Conclusions of Structured Scientific Abstracts	Yingqiang Gao	Confirmed In person	Yingqiang Gao, Nianlong Gu, Jessica Lam, James Henderson, Richard Hahnloser	Yingqiang Gao	Nianlong Gu	Jessica Lam	James Henderson	Richard Hahnloser								Yingqiang Gao	Nianlong Gu	Jessica Lam	James Henderson	Richard Hahnloser												
Session 3	2024-03-18	14-15:30	In-Person A	Generation	6	333	Flow Matching for Conditional Text Generation in a Few Sampling Steps	Vincent Tao Hu	Confirmed In person	Vincent Tao Hu, Di Wu, Yuki M Asano, Pascal Mettes, Basura Fernando, Björn Ommer, Cees G. M. Snoek	Vincent Tao Hu	Di Wu	Yuki M Asano	Pascal Mettes	Basura Fernando	Björn Ommer	Cees G. M. Snoek						Vincent Tao Hu	Di Wu	Yuki M Asano	Pascal Mettes	Basura Fernando	Björn Ommer	Cees G. M. Snoek										
Session 3	2024-03-18	14-15:30	In-Person A	Generation	7	324	High-quality Data-to-Text Generation for Severely Under-Resourced Languages with Out-of-the-box Large Language Models	Michela Lorandi	Confirmed In person	Michela Lorandi, Anya Belz	Michela Lorandi	Anya Belz											Michela Lorandi	Anya Belz															
Session 3	2024-03-18	14-15:30	In-Person A	Dialogue and Interactive Systems	1	381	Improving Backchannel Prediction Leveraging Sequential and Attentive Context Awareness	Yo-Han Park	Confirmed In person	Yo-Han Park, Wencke Liermann, Yong-Seok Choi, Kong Joo Lee	Yo-Han Park	Wencke Liermann	Yong-Seok Choi	Kong Joo Lee									Yo-Han Park	Wencke Liermann	Yong-Seok Choi	Kong Joo Lee													
Session 3	2024-03-18	14-15:30	In-Person A	Information Retrieval and Text Mining	19	469	Joint Inference of Retrieval and Generation for Passage Re-ranking	Wei Fang	Confirmed In person	Wei Fang, Yung-Sung Chuang, James R. Glass	Wei Fang	Yung-Sung Chuang	James R. Glass										Wei Fang	Yung-Sung Chuang	James R. Glass														
Session 3	2024-03-18	14-15:30	In-Person A	Information Extraction	11	99	Large Language Models for Scientific Information Extraction: An Empirical Study for Virology	Mahsa Shamsabadi	Confirmed In person	Mahsa Shamsabadi, Jennifer D'Souza, Sören Auer	Mahsa Shamsabadi	Jennifer D'Souza	Sören Auer										Mahsa Shamsabadi	Jennifer D'Souza	Sören Auer														
Session 3	2024-03-18	14-15:30	In-Person A	Summarization	29	303	Less is More for Long Document Summary Evaluation by LLMs	Yunshu Wu	Confirmed In person	Yunshu Wu, Hayate Iso, Pouya Pezeshkpour, Nikita Bhutani, Estevam Hruschka	Yunshu Wu	Hayate Iso	Pouya Pezeshkpour	Nikita Bhutani	Estevam Hruschka								Yunshu Wu	Hayate Iso	Pouya Pezeshkpour	Nikita Bhutani	Estevam Hruschka												
Session 3	2024-03-18	14-15:30	In-Person A	Dialogue and Interactive Systems	2	443	Let's Negotiate! A Survey of Negotiation Dialogue Systems	Haolan Zhan	Confirmed In person	Haolan Zhan, Yufei Wang, Zhuang Li, Tao Feng, YUNCHENG HUA, Suraj Sharma, Lizhen Qu, Zhaleh Semnani Azad, Ingrid Zukerman, Reza Haf	Haolan Zhan	Yufei Wang	Zhuang Li	Tao Feng	YUNCHENG HUA	Suraj Sharma	Lizhen Qu	Zhaleh Semnani Azad					Haolan Zhan	Yufei Wang	Zhuang Li	Tao Feng	YUNCHENG HUA	Suraj Sharma	Lizhen Qu	Zhaleh Semnani Azad	Ingrid Zukerman	Reza Haf							
Session 3	2024-03-18	14-15:30	In-Person A	Information Extraction	12	271	Leveraging Open Information Extraction for More Robust Domain Transfer of Event Trigger Detection	David Dukić	Confirmed In person	David Dukić, Kiril Gashteovski, Goran Glavaš, Jan Snajder	David Dukić	Kiril Gashteovski	Goran Glavaš	Jan Snajder									David Dukić	Kiril Gashteovski	Goran Glavaš	Jan Snajder													
Session 3	2024-03-18	14-15:30	In-Person A	Dialogue and Interactive Systems	3	301	Local and Global Contexts for Conversation	Zuoquan Lin	Confirmed In person	#N/A	Zuoquan Lin	Xinyi Shen											Zuoquan Lin	Xinyi Shen															
Session 3	2024-03-18	14-15:30	In-Person A	Information Retrieval and Text Mining	20	13	More Discriminative Sentence Embeddings via Semantic Graph Smoothing	Chakib Fettal	Confirmed In person	Chakib Fettal, lazhar labiod, Mohamed Nadif	Chakib Fettal	lazhar labiod	Mohamed Nadif										Chakib Fettal	lazhar labiod	Mohamed Nadif														
Session 3	2024-03-18	14-15:30	In-Person A	Information Retrieval and Text Mining	21	50	réchet Distance for Offline Evaluation of Information Retrieval Systems with Sparse Labels	Negar Arabzadeh	Confirmed In person	Negar Arabzadeh, Charles L. A. Clarke	Negar Arabzadeh	Charles L. A. Clarke											Negar Arabzadeh	Charles L. A. Clarke															
Session 3	2024-03-18	14-15:30	In-Person A	Information Extraction	13	382	SENSE-LM : A Synergy between a Language Model and Sensorimotor Representations for Auditory and Olfactory Information Extraction	Cédric BOSCHER	Confirmed In person	Cédric BOSCHER, Christine Largeron, Véronique Eglin, Elöd Egyed-Zsigmond	Cédric BOSCHER	Christine Largeron	Véronique Eglin	Elöd Egyed-Zsigmond									Cédric BOSCHER	Christine Largeron	Véronique Eglin	Elöd Egyed-Zsigmond													
Session 3	2024-03-18	14-15:30	In-Person A	Generation	8	417	Small Language Models Improve Giants by Rewriting Their Outputs	Giorgos Vernikos	Confirmed In person	Giorgos Vernikos, Arthur Brazinskas, Jakub Adamek, Jonathan Mallinson, Aliaksei Severyn, Eric Malmi	Giorgos Vernikos	Arthur Brazinskas	Jakub Adamek	Jonathan Mallinson	Aliaksei Severyn	Eric Malmi							Giorgos Vernikos	Arthur Brazinskas	Jakub Adamek	Jonathan Mallinson	Aliaksei Severyn	Eric Malmi											
