Session	Date	Start Time	End Time	Location	Track	Presentation Order	Session Title	Session ID on Underline	PID-old	PID	Title	Author	Length	Category	Oral(pref)
Session 2	2024-03-18	11:00	11:15	Carlson (176)	Efficient/Low-resource methods in NLP	1	Machine Learning for NLP		317-Oral	317-Oral	Extreme Fine-tuning: A Novel and Fast Fine-tuning Approach for Text Classification	Boonnithi Jiaramaneepinit, Thodsaporn Chay-intr, Kotaro Funakoshi, Manabu Okumura	Long 12/2.5/.5	Oral	In Person
Session 2	2024-03-18	11:15	11:30	Carlson (176)	Machine Learning for NLP	2	Machine Learning for NLP		198-Oral	198-Oral	Plan-Grounded Large Language Models for Dual Goal Conversational Settings	Diogo Glória-Silva, Rafael Ferreira, Diogo Tavares, David Semedo, Joao Magalhaes	Long 12/2.5/.5	Oral	In Person
Session 2	2024-03-18	11:30	11:45	Carlson (176)	Machine Learning for NLP	3	Machine Learning for NLP		351-Oral	351-Oral	TESS: Text-to-Text Self-Conditioned Simplex Diffusion	Rabeeh Karimi mahabadi, Hamish Ivison, Jaesung Tae, James Henderson, Iz Beltagy, Matthew E Peters, Arman Cohan	Long 12/2.5/.5	Oral	In Person
Session 2	2024-03-18	11:45	12:00	Carlson (176)	Machine Learning for NLP	4	Machine Learning for NLP		446-Oral	446-Oral	Dynamic Masking Rate Schedules for MLM Pretraining	Zachary Ankner, Naomi Saphra, Davis Blalock, Jonathan Frankle, Matthew L Leavitt	Long 12/2.5/.5	Oral	Unconfirmed
Session 2	2024-03-18	12:00	12:15	Carlson (176)	Machine Learning for NLP	5	Machine Learning for NLP		458-Oral	458-Oral	Gradient-Based Language Model Red Teaming	Nevan Wichers, Carson Denison, Ahmad Beirami	Long 12/2.5/.5	Oral	In Person
Session 2	2024-03-18	12:15	12:30	Carlson (176)	NLP Applications	6	Machine Learning for NLP		107-Oral	107-Oral	A* shortest string decoding for non-idempotent semirings	Kyle Gorman, Cyril Allauzen	Long 12/2.5/.5	Oral	In Person
Session 2	2024-03-18	11:00	11:15	Marie Louise 1 (90)	Computational Social Science and Cultural Analytics	1	Factual Content in NLP		310-Oral	310-Oral	What Makes Medical Claims (Un)Verifiable? Analyzing Entity and Relation Properties for Fact Verification	Amelie Wuehrl, Yarik Menchaca Resendiz, Lara Grimminger, Roman Klinger	Long 12/2.5/.5	Oral	In Person
Session 2	2024-03-18	11:15	11:30	Marie Louise 1 (90)	Interpretability and Model Analysis in NLP	2	Factual Content in NLP		314-Oral	314-Oral	Tracing the Roots of Facts in Multilingual Language Models: Independent, Shared, and Transferred Knowledge	Xin Zhao, Naoki Yoshinaga, Daisuke Oba	Long 12/2.5/.5	Oral	In Person
Session 2	2024-03-18	11:30	11:45	Marie Louise 1 (90)	Semantics: Sentence-level Semantics, Textual Inference and other areas	3	Factual Content in NLP		364-Oral	364-Oral	Rethinking Loss Functions for Fact Verification	Yuta Mukobara, Yutaro Shigeto, Masashi Shimbo	Long 12/2.5/.5	Oral	In Person
Session 2	2024-03-18	11:45	12:00	Marie Louise 1 (90)	Semantics: Sentence-level Semantics, Textual Inference and other areas	4	Factual Content in NLP		428-Oral	428-Oral	Counterfactual Reasoning with Knowledge Graph Embeddings	Lena Zellinger, Andreas Stephan, Benjamin Roth	Long 12/2.5/.5	Oral	In Person
