Session-old	Date	Start Time	End Time	PID-old	PID	Title	Author	Category	Track	Session	Poster(pref)	Hybrid Unit No	Assigned Board	Location	Presentation Order
Session 3	2024-03-18	14:00	15:30	321	321	$\mu$PLAN: Summarizing using a Content Plan as Cross-Lingual Bridge	Fantine Huot, Joshua Maynez, Chris Alberti, Reinald Kim Amplayo, Priyanka Agrawal, Constanza Fierro, Shashi Narayan, Mirella Lapata	Poster	Summarization	Session 3	In Person		28	Radisson	
Session 3	2024-03-18	14:00	15:30	217	217	3D Rotation and Translation for Hyperbolic Knowledge Graph Embedding	Yihua Zhu, Hidetoshi Shimodaira	Poster	Information Extraction	Session 3	In Person		9	Radisson	
Session 3	2024-03-18	14:00	15:30	41	41	A Methodology for Generative Spelling Correction via Natural Spelling Errors Emulation across Multiple Domains and Languages	Nikita Martynov, Mark Baushenko, Anastasia Kozlova, Katerina Kolomeytseva, Aleksandr Abramov, Alena Fenogenova	Poster	Generation	Session 3	In Person		5	Radisson	
Session 3	2024-03-18	14:00	15:30	309	309	An Empirical Analysis of Diversity in Argument Summarization	Michiel van der Meer, Piek Vossen, Catholijn M Jonker, Pradeep Kumar Murukannaiah	Poster	Sentiment Analysis, Stylistic Analysis and Argument Mining	Session 3	In Person		26	Radisson	
Session 3	2024-03-18	14:00	15:30	299	299	Argument Mining as a Text-to-Text Generation Task	Masayuki Kawarada, Tsutomu Hirao, Wataru Uchida, Masaaki Nagata	Poster	Information Retrieval and Text Mining	Session 3	In Person		15	Radisson	
Session 3	2024-03-18	14:00	15:30	163	163	Backtracing: Retrieving the Cause of the Query	Rose E Wang, Pawan Wirawarn, Omar Khattab, Noah Goodman, Dorottya Demszky	Poster	Information Retrieval and Text Mining	Session 3	In Person		16	Radisson	
Session 3	2024-03-18	14:00	15:30	7	7	Chem-FINESE: Validating Fine-Grained Few-shot Entity Extraction through Text Reconstruction	Qingyun Wang, Zixuan Zhang, Hongxiang Li, Xuan Liu, Jiawei Han, Huimin Zhao, Heng Ji	Poster	Information Extraction	Session 3	In Person		10	Radisson	
Session 3	2024-03-18	14:00	15:30	279	279	Clarifying the Path to User Satisfaction: An Investigation into Clarification Usefulness	Hossein A. Rahmani, Xi Wang, Mohammad Aliannejadi, Mohammadmehdi Naghiaei, Emine Yilmaz	Poster	Information Retrieval and Text Mining	Session 3	In Person		17	Radisson	
Session 3	2024-03-18	14:00	15:30	339	339	Corpus-Steered Query Expansion with Large Language Models	Yibin Lei, Yu Cao, Tianyi Zhou, Tao Shen, Andrew Yates	Poster	Information Retrieval and Text Mining	Session 3	In Person		18	Radisson	
Session 3	2024-03-18	14:00	15:30	117	117	Desiderata For The Context Use Of Question Answering Systems	Sagi Shaier, Lawrence Hunter, Katharina von der Wense	Poster	Question Answering	Session 3	In Person		25	Radisson	
Session 3	2024-03-18	14:00	15:30	83	83	Evaluating Unsupervised Argument Aligners via Generation of Conclusions of Structured Scientific Abstracts	Yingqiang Gao, Nianlong Gu, Jessica Lam, James Henderson, Richard Hahnloser	Poster	Sentiment Analysis, Stylistic Analysis and Argument Mining	Session 3	In Person		27	Radisson	
